"movie","subject"
"http://dbpedia.org/resource/After_Hours_(film)","http://dbpedia.org/resource/Category:1980s_comedy_films"
"http://dbpedia.org/resource/After_Hours_(film)","http://dbpedia.org/resource/Category:American_black_comedy_films"
"http://dbpedia.org/resource/After_Hours_(film)","http://dbpedia.org/resource/Category:American_films"
"http://dbpedia.org/resource/After_Hours_(film)","http://dbpedia.org/resource/Category:American_independent_films"
"http://dbpedia.org/resource/After_Hours_(film)","http://dbpedia.org/resource/Category:English-language_films"
"http://dbpedia.org/resource/After_Hours_(film)","http://dbpedia.org/resource/Category:Films_directed_by_Martin_Scorsese"
"http://dbpedia.org/resource/After_Hours_(film)","http://dbpedia.org/resource/Category:Films_set_in_New_York_City"
"http://dbpedia.org/resource/After_Hours_(film)","http://dbpedia.org/resource/Category:Independent_Spirit_Award_for_Best_Film_winners"
"http://dbpedia.org/resource/After_Hours_(film)","http://dbpedia.org/resource/Category:Warner_Bros._films"
"http://dbpedia.org/resource/After_Hours_(film)","http://dbpedia.org/resource/Category:The_Geffen_Film_Company_films"
"http://dbpedia.org/resource/Cape_Fear_(1991_film)","http://dbpedia.org/resource/Category:1990s_crime_thriller_films"
"http://dbpedia.org/resource/Cape_Fear_(1991_film)","http://dbpedia.org/resource/Category:1990s_psychological_thriller_films"
"http://dbpedia.org/resource/Cape_Fear_(1991_film)","http://dbpedia.org/resource/Category:Film_scores_by_Elmer_Bernstein"
"http://dbpedia.org/resource/Cape_Fear_(1991_film)","http://dbpedia.org/resource/Category:Films_about_families"
"http://dbpedia.org/resource/Cape_Fear_(1991_film)","http://dbpedia.org/resource/Category:Films_about_rape"
"http://dbpedia.org/resource/Cape_Fear_(1991_film)","http://dbpedia.org/resource/Category:Films_about_stalking"
"http://dbpedia.org/resource/Cape_Fear_(1991_film)","http://dbpedia.org/resource/Category:Films_shot_in_Florida"
"http://dbpedia.org/resource/Cape_Fear_(1991_film)","http://dbpedia.org/resource/Category:Films_set_in_North_Carolina"
"http://dbpedia.org/resource/Cape_Fear_(1991_film)","http://dbpedia.org/resource/Category:1991_films"
"http://dbpedia.org/resource/Cape_Fear_(1991_film)","http://dbpedia.org/resource/Category:Amblin_Entertainment_films"
"http://dbpedia.org/resource/Cape_Fear_(1991_film)","http://dbpedia.org/resource/Category:American_crime_thriller_films"
"http://dbpedia.org/resource/Cape_Fear_(1991_film)","http://dbpedia.org/resource/Category:American_films"
"http://dbpedia.org/resource/Cape_Fear_(1991_film)","http://dbpedia.org/resource/Category:English-language_films"
"http://dbpedia.org/resource/Cape_Fear_(1991_film)","http://dbpedia.org/resource/Category:Films_about_psychopaths"
"http://dbpedia.org/resource/Cape_Fear_(1991_film)","http://dbpedia.org/resource/Category:Films_about_revenge"
"http://dbpedia.org/resource/Cape_Fear_(1991_film)","http://dbpedia.org/resource/Category:Films_based_on_American_novels"
"http://dbpedia.org/resource/Cape_Fear_(1991_film)","http://dbpedia.org/resource/Category:Films_based_on_thriller_novels"
"http://dbpedia.org/resource/Cape_Fear_(1991_film)","http://dbpedia.org/resource/Category:Films_directed_by_Martin_Scorsese"
"http://dbpedia.org/resource/Cape_Fear_(1991_film)","http://dbpedia.org/resource/Category:Films_shot_in_California"
"http://dbpedia.org/resource/Cape_Fear_(1991_film)","http://dbpedia.org/resource/Category:Universal_Pictures_films"
"http://dbpedia.org/resource/Cape_Fear_(1991_film)","http://dbpedia.org/resource/Category:American_film_remakes"
"http://dbpedia.org/resource/Cape_Fear_(1991_film)","http://dbpedia.org/resource/Category:American_thriller_drama_films"
"http://dbpedia.org/resource/Cape_Fear_(1991_film)","http://dbpedia.org/resource/Category:Films_about_lawyers"
"http://dbpedia.org/resource/Cape_Fear_(1991_film)","http://dbpedia.org/resource/Category:Films_shot_in_Georgia_(U.S._state)"
"http://dbpedia.org/resource/Cape_Fear_(1991_film)","http://dbpedia.org/resource/Category:Horror_film_remakes"
"http://dbpedia.org/resource/Cape_Fear_(1991_film)","http://dbpedia.org/resource/Category:Southern_Gothic_films"
"http://dbpedia.org/resource/Cape_Fear_(1991_film)","http://dbpedia.org/resource/Category:American_legal_films"
"http://dbpedia.org/resource/New_York,_New_York_(1977_film)","http://dbpedia.org/resource/Category:1977_films"
"http://dbpedia.org/resource/New_York,_New_York_(1977_film)","http://dbpedia.org/resource/Category:American_musical_drama_films"
